date,weekday,phase,course,tags,detail
2026-07-09,星期四,夯实基础,言语理解强化,言语、政治、常识,言语理解强化【整理笔记、整理错题本、画思维导图、做配套习题】
2026-07-10,星期五,夯实基础,判断推理精讲,判推、政治、常识,判断推理精讲1 / 复盘+刷题+背诵
2026-07-11,星期六,夯实基础,判断推理精讲,判推、政治、常识,判断推理精讲2 / 复盘+刷题+背诵
2026-07-12,星期日,夯实基础,判断推理精讲,判推、政治、常识,判断推理精讲3 / 复盘+刷题+背诵
2026-07-13,星期一,夯实基础,判断推理精讲,判推、政治、常识,判断推理精讲4 / 复盘+刷题+背诵
2026-07-14,星期二,夯实基础,判断推理精讲,判推、政治、常识,判断推理精讲5 / 复盘+刷题+背诵
2026-07-15,星期三,夯实基础,判断推理强化,资料、政治、常识,判断推理强化【整理笔记、整理错题本、画思维导图、做配套习题】
2026-07-16,星期四,夯实基础,休息,,
2026-07-17,星期五,夯实基础,数资精讲,数资、政治、常识,数资精讲1 / 复盘+刷题+背诵
2026-07-18,星期六,夯实基础,数资精讲,数资、政治、常识,数资精讲2 / 复盘+刷题+背诵
2026-07-19,星期日,夯实基础,数资精讲,数资、政治、常识,数资精讲3 / 复盘+刷题+背诵
2026-07-20,星期一,夯实基础,数资精讲,数资、政治、常识,数资精讲4 / 复盘+刷题+背诵
2026-07-26,星期日,夯实基础,申论精讲,申论、政治、常识,申论精讲4 / 复盘+刷题+背诵
2026-07-27,星期一,夯实基础,申论精讲,申论、政治、常识,申论精讲5 / 复盘+刷题+背诵
2026-07-28,星期二,夯实基础,申论强化,申论、政治、常识,申论强化【整理笔记、背诵素材、做配套习题】
2026-07-29,星期三,夯实基础,休息,,
2026-07-30,星期四,夯实基础,政治、常识,政治、常识,政治、常识精讲1 / 复盘+刷题+背诵
2026-07-31,星期五,夯实基础,政治、常识,政治、常识,政治、常识精讲2 / 复盘+刷题+背诵
2026-08-01,星期六,夯实基础,政治、常识强化,政治、常识,政治常识强化【整理笔记、背诵素材、做配套习题】
2026-08-02,星期日,夯实基础,政治、常识,政治、常识,政治、常识精讲3 / 复盘+刷题+背诵
2026-08-03,星期一,夯实基础,政治、常识,政治、常识,政治、常识精讲4 / 复盘+刷题+背诵
2026-08-04,星期二,夯实基础,政治、常识强化,政治、常识,政治常识强化【整理笔记、背诵素材、做配套习题】
2026-08-05,星期三,夯实基础,全真模考1,,
2026-08-08,星期六,基础强化,言语基础强化,言语、政治、常识,言语基础强化1 / 复盘+刷题+背诵
2026-08-09,星期日,基础强化,言语基础强化,言语、政治、常识,言语基础强化2 / 复盘+刷题+背诵
2026-08-10,星期一,基础强化,言语基础强化,言语、政治、常识,言语基础强化3 / 复盘+刷题+背诵
2026-08-11,星期二,基础强化,言语强化,言语、政治、常识,言语理解强化【整理笔记、整理错题本、画思维导图、做配套习题】
2026-08-12,星期三,基础强化,判断推理基础强化,,判推、政治、常识 / 判断推理基础强化1
2026-08-13,星期四,基础强化,判断推理基础强化,,判推、政治、常识 / 判断推理基础强化1
2026-08-14,星期五,基础强化,判断推理基础强化,判推、政治、常识,判断推理基础强化3 / 复盘+刷题+背诵
2026-08-15,星期六,基础强化,判断推理基础强化,判推、政治、常识,判断推理基础强化4 / 复盘+刷题+背诵
2026-08-16,星期日,基础强化,判断推理强化,判推、政治、常识,判断推理强化【整理笔记、整理错题本、画思维导图、做配套习题】
2026-08-17,星期一,基础强化,休息,,
2026-08-18,星期二,基础强化,数资基础强化,,数资、政治、常识 / 数资基础强化1
2026-08-19,星期三,基础强化,数资基础强化,,数资、政治、常识 / 数资基础强化1
2026-08-20,星期四,基础强化,数资基础强化,数资、政治、常识,数资基础强化3 / 复盘+刷题+背诵
2026-08-21,星期五,基础强化,数资基础强化,数资、政治、常识,数资基础强化4 / 复盘+刷题+背诵
2026-08-22,星期六,基础强化,数资强化,数资、政治、常识,数资强化【整理笔记、整理错题本、画思维导图、做配套习题】
2026-08-23,星期日,基础强化,休息,,
2026-08-24,星期一,基础强化,申论基础强化,,申论、政治、常识 / 申论基础强化1
2026-08-25,星期二,基础强化,申论基础强化,,申论、政治、常识 / 申论基础强化1
2026-08-26,星期三,基础强化,申论基础强化,申论、政治、常识,申论基础强化3 / 复盘+刷题+背诵
2026-08-27,星期四,基础强化,申论基础强化,申论、政治、常识,申论基础强化4 / 复盘+刷题+背诵
2026-08-28,星期五,基础强化,申论基础强化,申论、政治、常识,申论基础强化5 / 复盘+刷题+背诵
2026-08-29,星期六,基础强化,全真模考2/班会,,
2026-09-09,星期三,模块刷题,报道,,
2026-09-10,星期四,模块刷题,全真模考3,,
2026-09-11,星期五,模块刷题,言语刷题,言语、政治、常识,言语刷题1 / 复盘+刷题+背诵
2026-09-12,星期六,模块刷题,言语刷题,,言语、政治、常识 / 言语刷题3
2026-09-13,星期日,模块刷题,言语刷题,,言语、政治、常识 / 言语刷题3
2026-09-14,星期一,模块刷题,言语强化,言语、政治、常识,言语理解强化【整理笔记、整理错题本、画思维导图、做配套习题】
2026-09-15,星期二,模块刷题,政治、常识刷题,政治、常识刷题,政治、常识 / 政治、常识讲刷1
2026-09-16,星期三,模块刷题,政治、常识刷题,政治、常识刷题,政治、常识 / 政治、常识讲刷1
2026-09-17,星期四,模块刷题,政治、常识刷题,政治、常识,政治、常识讲刷3 / 复盘+刷题+背诵
2026-09-18,星期五,模块刷题,政治、常识强化,政治、常识,政治常识强化【整理笔记、背诵素材、做配套习题】
2026-09-19,星期六,强化刷题,休息,,
2026-09-20,星期日,强化刷题,申论刷题,申论、政治、常识,申论刷题1 / 复盘+刷题+背诵
2026-09-21,星期一,强化刷题,申论刷题,申论、政治、常识,申论刷题2 / 复盘+刷题+背诵
2026-09-22,星期二,强化刷题,申论刷题,申论、政治、常识,申论刷题3 / 复盘+刷题+背诵
2026-09-23,星期三,模块刷题,申论刷题,申论、政治、常识,申论刷题4 / 复盘+刷题+背诵
2026-09-24,星期四,模块刷题,申论强化,申论、政治、常识,申论强化【整理笔记、背诵素材、做配套习题】
2026-09-27,星期日,模块刷题,判断推理刷题,,判推、政治、常识 / 判断推理刷题1
2026-09-28,星期一,模块刷题,判断推理刷题,,判推、政治、常识 / 判断推理刷题1
2026-09-29,星期二,模块刷题,判断推理刷题,判推、政治、常识,判断推理刷题3 / 复盘+刷题+背诵
2026-09-30,星期三,模块刷题,判断推理强化,,判推、政治、常识 / 数资、政治、常识 / 数资刷题1
2026-10-01,星期四,模块刷题,判断推理强化,,判推、政治、常识 / 数资、政治、常识 / 数资刷题1
2026-10-02,星期五,模块刷题,数资刷题,数资、政治、常识,数资刷题2 / 复盘+刷题+背诵
2026-10-03,星期六,模块刷题,数资刷题,数资、政治、常识,数资刷题3 / 复盘+刷题+背诵
2026-10-04,星期日,强化刷题,数资刷题,数资、政治、常识,数资刷题4 / 复盘+刷题+背诵
2026-10-05,星期一,强化刷题,数资强化,数资、政治、常识,数资强化【整理笔记、整理错题本、做配套习题】
2026-10-06,星期二,强化刷题,全真模考4,,
2026-10-07,星期三,强化刷题,休息,,
2026-10-08,星期四,强化刷题,言语强化刷题,言语、政治、常识,言语强化刷题1 / 复盘+刷题+背诵
2026-10-09,星期五,强化刷题,言语强化刷题,言语、政治、常识,言语强化刷题2 / 复盘+刷题+背诵
2026-10-10,星期六,强化刷题,言语强化,言语、政治、常识,言语理解强化【整理笔记、整理错题本、画思维导图、做配套习题】
2026-10-11,星期日,强化刷题,申论强化刷题,申论、政治、常识,申论强化刷题1 / 复盘+刷题+背诵
2026-10-12,星期一,强化刷题,申论强化刷题,申论、政治、常识,申论强化刷题2 / 复盘+刷题+背诵
2026-10-13,星期二,强化刷题,申论强化刷题,申论、政治、常识,申论强化刷题3 / 复盘+刷题+背诵
2026-10-14,星期三,强化刷题,申论强化,申论、政治、常识,申论强化【整理笔记、背诵素材、做配套习题】
2026-10-17,星期六,强化刷题,政治常识强化刷题,,政治、常识 / 政治常识强化刷题1
2026-10-18,星期日,强化刷题,政治常识强化刷题,,政治、常识 / 政治常识强化刷题1
2026-10-19,星期一,强化刷题,政治常识强化刷题,政治、常识,政治常识强化刷题3 / 复盘+刷题+背诵
2026-10-20,星期二,强化刷题,政治、常识强化,政治、常识,政治常识强化【整理笔记、背诵素材、做配套习题】
2026-10-21,星期三,强化刷题,判推强化刷题,判推、政治、常识,判推强化刷题1 / 复盘+刷题+背诵
2026-10-22,星期四,强化刷题,判推强化刷题,判推、政治、常识,判推强化刷题2 / 复盘+刷题+背诵
2026-10-23,星期五,强化刷题,判推强化刷题,判推、政治、常识,判推强化刷题3 / 复盘+刷题+背诵
2026-10-24,星期六,强化刷题,判断推理强化,判推、政治、常识,判断推理强化【整理笔记、整理错题本、做配套习题】
2026-10-25,星期日,强化刷题,休息,,
2026-10-26,星期一,强化刷题,数资强化刷题,数资、政治、常识,数资强化刷题1 / 复盘+刷题+背诵
2026-10-27,星期二,强化刷题,数资强化刷题,数资、政治、常识,数资强化刷题2 / 复盘+刷题+背诵
2026-10-28,星期三,强化刷题,数资强化刷题,数资、政治、常识,数资强化刷题3 / 复盘+刷题+背诵
2026-10-29,星期四,强化刷题,数资强化,,数资、政治、常识 / 数资强化刷题4
2026-10-30,星期五,强化刷题,数资强化,,数资、政治、常识 / 数资强化刷题4
2026-10-31,星期六,强化刷题,全真模考5,,
2026-11-01,星期日,强化刷题,休息,,
2026-11-07,星期六,套卷刷题冲刺密押,模考讲解,,
2026-11-08,星期日,套卷刷题冲刺密押,休息,,
2026-11-09,星期一,套卷刷题冲刺密押,数资冲刺密押,数资、政治、常识,数资冲刺密押1 / 复盘+刷题+背诵
2026-11-10,星期二,套卷刷题冲刺密押,数资冲刺密押,数资、政治、常识,数资冲刺密押2 / 复盘+刷题+背诵
2026-11-11,星期三,套卷刷题冲刺密押,言语理解冲刺密押,言语、政治、常识,言语理解冲刺密押1 / 复盘+刷题+背诵
2026-11-12,星期四,省考讲刷,言语理解冲刺密押,言语、政治、常识,言语理解冲刺密押2 / 复盘+刷题+背诵
2026-11-13,星期五,省考讲刷,自我总结提升,,
2026-11-14,星期六,省考讲刷,申论冲刺密押,申论、政治、常识,申论冲刺密押1 / 复盘+刷题+背诵
2026-11-15,星期日,省考讲刷,申论冲刺密押,申论、政治、常识,申论冲刺密押2 / 复盘+刷题+背诵
2026-11-21,星期六,套卷刷题冲刺密押,政治、常识强化,政治、常识,政治常识强化【整理笔记、背诵素材、做配套习题】
2026-11-22,星期日,套卷刷题冲刺密押,全真模考,,行测全真模考10 / 申论全真模考8 / 模考复盘总结
2026-11-23,星期一,套卷刷题冲刺密押,全真模考,,行测全真模考11 / 申论全真模考9 / 模考复盘总结
2026-11-24,星期二,套卷刷题冲刺密押,模考讲解,,行测模考讲解 / 模考复盘总结
2026-11-25,星期三,套卷刷题冲刺密押,自我总结提升,,
2026-11-26,星期四,省考讲刷,模考讲解,,
2026-11-27,星期五,省考讲刷,考前准备,,
2026-11-30,星期一,省考讲刷,国考【预估】,,
2026-12-12,星期六,省考讲刷,报道,,
2026-12-13,星期日,省考讲刷,全真模考12,,
2026-12-14,星期一,省考讲刷,判断推理讲刷,判断、常识、政治理论,判断推理讲刷1 / 复盘+刷题+整理笔记
2026-12-15,星期二,省考讲刷,判断推理讲刷,判断、常识、政治理论,判断推理讲刷2 / 复盘+刷题+整理笔记
2026-12-16,星期三,省考讲刷,判断推理讲刷,判断、常识、政治理论,判断推理讲刷3 / 复盘+刷题+整理笔记
2026-12-17,星期四,省考讲刷,判断推理强化,判推、政治、常识,判断推理强化【整理笔记、整理错题本、做配套习题】
2026-12-18,星期五,省考讲刷,数资讲刷,数资、常识、政治理论,数资讲刷1 / 复盘+刷题+整理笔记
2026-12-19,星期六,省考讲刷,数资讲刷,,数资、常识、政治理论 / 数资讲刷2
2026-12-20,星期日,省考讲刷,数资讲刷,,数资、常识、政治理论 / 数资讲刷2
2026-12-21,星期一,省考讲刷,数资讲刷,数资、常识、政治理论,数资讲刷4 / 复盘+刷题+整理笔记
2026-12-22,星期二,省考讲刷,数资强化,数资、常识、政治理论,数资强化【整理笔记、整理错题本、画思维导图、做配套习题】
2026-12-23,星期三,省考讲刷,,,
2026-12-24,星期四,省考讲刷,政治、常识讲刷,政治、常识,政治、常识讲刷1 / 复盘+刷题+背诵
2026-12-25,星期五,省考讲刷,政治、常识讲刷,政治、常识,政治、常识讲刷2 / 复盘+刷题+背诵
2026-12-26,星期六,省考讲刷,政治、常识强化,政治、常识,政治常识强化【整理笔记、背诵素材、做配套习题】
2026-12-27,星期日,省考讲刷,申论讲刷,申论、常识、政治理论,申论讲刷1 / 复盘+刷题+整理笔记
2026-12-28,星期一,省考讲刷,申论讲刷,申论、常识、政治理论,申论讲刷2 / 复盘+刷题+整理笔记
2026-12-29,星期二,省考讲刷,申论讲刷,申论、常识、政治理论,申论讲刷3 / 复盘+刷题+整理笔记
2026-12-30,星期三,省考讲刷,申论强化,申论、常识、政治理论,申论强化【整理笔记、画思维导图、做配套习题】
2026-12-31,星期四,省考讲刷,全真模考13,,
2027-01-01,星期五,省考讲刷,元旦放假,,
2027-01-02,星期六,省考讲刷,元旦放假,,
2027-01-03,星期日,省考讲刷,言语讲刷,言语、常识、政治理论,言语讲刷1 / 复盘+刷题+整理笔记
2027-01-04,星期一,省考讲刷,言语讲刷,言语、常识、政治理论,言语讲刷2 / 复盘+刷题+整理笔记
